,date,year,month,day,time_of_day,damage_level,damage_level_sort,flight_phase,state,airport,operator,speed,aircraft_model,bird_size,species
0,1990-01-08,1990,1,8,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,300.0,T-38A,Large,Turkey vulture
1,1990-01-09,1990,1,9,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,200.0,KC-10A,Medium,Unknown bird or bat
2,1990-01-11,1990,1,11,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,130.0,B-52,Medium,Unknown bird or bat
3,1990-01-11,1990,1,11,Day,Substantial,4,Take-off run,Louisiana,NEW ORLEANS INTL,SOUTHWEST AIRLINES,140.0,B-737-300,Small,Rock pigeon
4,1990-01-12,1990,1,12,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,160.0,KC-10A,Medium,Unknown bird or bat
5,1990-02-02,1990,2,2,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
6,1990-02-06,1990,2,6,Dusk,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,KC-10A,Medium,Unknown bird or bat
7,1990-02-22,1990,2,22,Night,None,1,Approach,DC,WASHINGTON DULLES INTL ARPT,FEDEX EXPRESS,190.0,B-727,Large,Unknown bird - large
8,1990-03-01,1990,3,1,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
9,1990-03-02,1990,3,2,Dusk,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,130.0,B-52,Medium,Unknown bird or bat
10,1990-03-03,1990,3,3,Day,Medium,3,Climb,DC,WASHINGTON DULLES INTL ARPT,AIR WISCONSIN AIRLINES,180.0,BA-146,Large,Unknown bird - large
11,1990-03-08,1990,3,8,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,B-52,Medium,Unknown bird or bat
12,1990-03-09,1990,3,9,Night,None,1,Approach,DC,RONALD REAGAN WASHINGTON NATL,MILITARY,200.0,C-141B,Medium,Unknown bird - medium
13,1990-03-09,1990,3,9,Night,None,1,Approach,South Carolina,CHARLESTON AFB/INTL ARPT,MILITARY,190.0,C-141B,Medium,Unknown bird or bat
14,1990-03-09,1990,3,9,Night,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,B-52,Medium,Unknown bird or bat
15,1990-03-13,1990,3,13,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,250.0,A-10A,Medium,Unknown bird or bat
16,1990-03-19,1990,3,19,Dusk,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,KC-10A,Medium,Unknown bird or bat
17,1990-03-22,1990,3,22,Day,Minor,2,Climb,Missouri,LAMBERT-ST LOUIS INTL,TRANS STATES AIRLINES,160.0,SA227 AC METRO III,Small,European starling
18,1990-04-04,1990,4,4,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,135.0,KC-10A,Medium,Unknown bird or bat
19,1990-04-07,1990,4,7,Day,Substantial,4,Take-off run,New York,LAGUARDIA NY,US AIRWAYS*,,B-737-400,Large,Canada goose
20,1990-04-07,1990,4,7,Dusk,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,120.0,KC-10A,Medium,Unknown bird or bat
21,1990-04-09,1990,4,9,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,210.0,KC-10A,Medium,Unknown bird or bat
22,1990-04-15,1990,4,15,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
23,1990-04-16,1990,4,16,Dawn,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,KC-10A,Medium,Unknown bird or bat
24,1990-04-18,1990,4,18,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,KC-10A,Medium,Unknown bird or bat
25,1990-04-19,1990,4,19,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-10A,Medium,Unknown bird or bat
26,1990-04-19,1990,4,19,Night,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,KC-135,Medium,Unknown bird or bat
27,1990-04-19,1990,4,19,Day,None,1,Approach,Louisiana,NEW ORLEANS INTL,AMERICAN AIRLINES,235.0,B-727,Small,Unknown bird - small
28,1990-04-20,1990,4,20,Day,None,1,Approach,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,UNKNOWN,105.0,BE-58  BARON,Medium,Unknown bird - medium
29,1990-04-23,1990,4,23,Dawn,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,190.0,KC-10A,Medium,Unknown bird or bat
30,1990-04-23,1990,4,23,Night,None,1,Take-off run,South Carolina,CHARLESTON AFB/INTL ARPT,MILITARY,160.0,C-141B,Medium,Unknown bird or bat
31,1990-04-24,1990,4,24,Day,None,1,Approach,South Carolina,CHARLESTON AFB/INTL ARPT,MILITARY,200.0,C-141B,Medium,Unknown bird or bat
32,1990-04-25,1990,4,25,Dusk,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,B-52,Medium,Unknown bird or bat
33,1990-04-25,1990,4,25,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,170.0,KC-10A,Medium,Unknown bird or bat
34,1990-04-26,1990,4,26,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,180.0,KC-135,Medium,Unknown bird or bat
35,1990-04-27,1990,4,27,Day,None,1,Climb,California,LOS ANGELES INTL,US AIRWAYS*,230.0,B-737-300,Medium,Unknown bird - medium
36,1990-04-27,1990,4,27,Night,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,,B-727,Medium,Unknown bird - medium
37,1990-04-28,1990,4,28,Night,None,1,Approach,Oregon,PORTLAND INTL (OR),AMERICAN AIRLINES,127.0,B-727,Medium,Unknown bird - medium
38,1990-04-29,1990,4,29,Night,Medium,3,Approach,DC,WASHINGTON DULLES INTL ARPT,AMERICAN AIRLINES,250.0,B-727,Medium,Unknown bird - medium
39,1990-04-30,1990,4,30,Day,Substantial,4,Take-off run,Florida,FORT LAUDERDALE/HOLLYWOOD INTL,US AIRWAYS*,140.0,B-737-400,Small,Unknown bird - small
40,1990-05-01,1990,5,1,Night,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,UNITED AIRLINES,120.0,B-727,Large,White-tailed deer
41,1990-05-01,1990,5,1,Day,None,1,Approach,Texas,HOUSTON-HOBBY,SOUTHWEST AIRLINES,124.0,B-737-500,Small,Unknown bird - small
42,1990-05-02,1990,5,2,Night,None,1,Approach,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,130.0,B-767-200,Medium,Unknown bird - medium
43,1990-05-03,1990,5,3,Night,None,1,Descent,Texas,SAN ANTONIO INTL,SOUTHWEST AIRLINES,320.0,B-737-200,Small,Unknown bird - small
44,1990-05-05,1990,5,5,Night,None,1,Approach,California,SACRAMENTO INTL,AMERICAN AIRLINES,260.0,MD-80,Medium,Unknown bird - medium
45,1990-05-05,1990,5,5,Day,None,1,Approach,Oklahoma,WILL ROGERS WORLD ARPT,AMERICAN AIRLINES,150.0,B-727-200,Small,Unknown bird - small
46,1990-05-05,1990,5,5,Night,None,1,Approach,Georgia,ATLANTA INTL,DELTA AIR LINES,180.0,B-767,Small,Unknown bird - small
47,1990-05-07,1990,5,7,Day,Minor,2,Descent,Indiana,INDIANAPOLIS INTL,BUSINESS,160.0,BE-90  KING,Medium,Unknown bird - medium
48,1990-05-07,1990,5,7,Day,None,1,Descent,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,240.0,MD-80,Medium,Unknown bird - medium
49,1990-05-08,1990,5,8,Night,None,1,Approach,Missouri,KANSAS CITY INTL,MILITARY,180.0,E-4B,Medium,Unknown bird - medium
50,1990-05-08,1990,5,8,Day,None,1,Take-off run,California,MINETA SAN JOSE INTL,AMERICAN AIRLINES,135.0,MD-80,Small,American robin
51,1990-05-10,1990,5,10,Day,None,1,Approach,California,METRO OAKLAND INTL,AMERICAN AIRLINES,135.0,MD-82,Medium,Unknown bird - medium
52,1990-05-10,1990,5,10,Night,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,220.0,KC-10A,Medium,Unknown bird or bat
53,1990-05-11,1990,5,11,Night,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,250.0,MD-82,Medium,Unknown bird - medium
54,1990-05-13,1990,5,13,Day,None,1,Approach,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,140.0,B-727,Small,Unknown bird - small
55,1990-05-13,1990,5,13,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,160.0,B-727-200,Small,Unknown bird - small
56,1990-05-13,1990,5,13,Day,None,1,Climb,Tennessee,NASHVILLE INTL,AMERICAN AIRLINES,160.0,MD-80,Small,European starling
57,1990-05-13,1990,5,13,Day,None,1,Landing Roll,Minnesota,MINNEAPOLIS-ST PAUL INTL,AMERICAN AIRLINES,100.0,DC-9,Small,American robin
58,1990-05-14,1990,5,14,Night,None,1,Descent,Oregon,PORTLAND INTL (OR),AMERICAN AIRLINES,200.0,MD-80,Medium,Unknown bird - medium
59,1990-05-14,1990,5,14,Night,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,AMERICAN AIRLINES,140.0,MD-80,Small,Unknown bird - small
60,1990-05-15,1990,5,15,Day,None,1,Take-off run,Illinois,CHICAGO O'HARE INTL ARPT,MILITARY,150.0,KC-135E,Large,Coyote
61,1990-05-15,1990,5,15,Day,None,1,Climb,Illinois,CHICAGO O'HARE INTL ARPT,MILITARY,120.0,C-130,Medium,Unknown bird - medium
